date_month,localizacao
2024-03-12,"NOVA SANTA RITA, RIO GRANDE DO SUL"
2024-03-12,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-13,"CACEQUI, RIO GRANDE DO SUL"
2024-03-13,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-03-13,"SÃO BORJA, RIO GRANDE DO SUL"
2024-03-13,"SANTA MARIA, RIO GRANDE DO SUL"
2024-03-13,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-13,"ROSÁRIO DO SUL, RIO GRANDE DO SUL"
2024-03-13,"ARROIO DOS RATOS, RIO GRANDE DO SUL"
2024-03-14,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-03-14,"SÃO PEDRO DO SUL, RIO GRANDE DO SUL"
2024-03-25,"MONTENEGRO, RIO GRANDE DO SUL"
2024-03-25,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-25,"NOVA SANTA RITA, RIO GRANDE DO SUL"
2024-03-25,"SENTINELA DO SUL, RIO GRANDE DO SUL"
2024-03-25,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-26,"SÃO SEPÉ, RIO GRANDE DO SUL"
2024-01-03,"ALEGRETE, RIO GRANDE DO SUL"
2024-01-08,"VIAMÃO, RIO GRANDE DO SUL"
2024-01-09,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-10,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-22,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-22,"BARRA DO QUARAÍ, RIO GRANDE DO SUL"
2024-01-22,"TRIUNFO, RIO GRANDE DO SUL"
2024-01-24,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-01,"BARÃO DO TRIUNFO, RIO GRANDE DO SUL"
2024-02-03,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-03,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-02-03,"TRIUNFO, RIO GRANDE DO SUL"
2024-02-05,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-09,"SÃO SEPÉ, RIO GRANDE DO SUL"
2024-02-09,"BARÃO DO TRIUNFO, RIO GRANDE DO SUL"
2024-02-09,"SÃO JERÔNIMO, RIO GRANDE DO SUL"
2024-02-09,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-10,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-10,"ARROIO DOS RATOS, RIO GRANDE DO SUL"
2024-02-10,"MARIANA PIMENTEL, RIO GRANDE DO SUL"
2024-02-10,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-02-10,"CANOAS, RIO GRANDE DO SUL"
2024-02-17,"HERVAL, RIO GRANDE DO SUL"
2024-02-21,"CHUVISCA, RIO GRANDE DO SUL"
